Name,type,price,vintage,alcohol,bottle size,country,region,grapespecies,producer,Text wine,aromas,bottles,cases,fruit,notes,palate,red,single,six,wine
Catena Alta Chardonnay,2.0,20.99,2018.0,14.0,75.0,8.0,6.0,2.0,Catena,champagne lelargepugeot les meuniers de clemence extra brut 1er cru stunningly poised wine crisp palate beautifully balanced intense fruitiness full green apple lime juice mineral texture creamy mousse character lingers endless finishsold single bottles,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Cadus Signature Series Pinot Noir,1.0,15.49,2019.0,13.5,75.0,8.0,6.0,9.0,Cadus,pulignymontrachet bernard millot bright beautiful pulignymontrachet small family domaine bernard millot offers intense aromas lime leaf grilled nuts palate concentrated yet lithely structured great precision focussold single bottles,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0
Catena Chardonnay,2.0,12.99,2019.0,14.0,75.0,8.0,6.0,2.0,Catena,champagne lelargepugeot extra brut 1er cru tradition nv pale golden yellow persistent effervescence creamy wine offers good depth flavour ripe rich fruits dominate complemented abundance fresh apple apricots tangy hint orange zest harmoniously balanced texture tight inviting streak minerality crisp finishsold single bottles,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Matias Riccitelli Tinto de la Casa,1.0,21.79,2020.0,14.0,75.0,8.0,6.0,5.0,Matias Riccitelli,barbaresco roncaglie poderi colla colla familys prized southfacing roncaglie vineyard one barbarescos celebrated crus,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
Dona Paula Estate Riesling Uco Valley,2.0,11.79,2021.0,11.5,75.0,8.0,10.0,7.0,Dona Paula,henners brut english sparkling wine biscuity brioche nose delicate white flower full fruit citrus apple leesy characters add complexity palatesold cases six bottles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Catena Vista Flores Malbec,1.0,13.89,2019.0,13.5,75.0,8.0,6.0,5.0,Catena,prunotto bansella nizza bansella intense ruby red colour dark highlights nose reveals rich aromas plums along violets cocoa licorice palate full balanced soft fresh finish sustained vein crispy aciditysold single bottles,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
Dona Paula Estate Sauvignon Blanc Tupungato,2.0,11.79,2021.0,11.0,75.0,8.0,6.0,3.0,Dona Paula,sommelier wine awards 2019 gold medal winner,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
El Camino Mendoza Malbec,1.0,8.39,2020.0,14.5,75.0,8.0,6.0,5.0,El Camino,marchesi di gresy gaiun martinenga barbaresco brilliant garnet red colour orange hues bouquet shows deep nuances sweet tobacco licorice black pepper mingled chocolate balsamic notes elegantly structured harmonious wine fine silky tannic texturesold cases six bottles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zorzal Eggo Franco Cabernet Franc,1.0,16.39,2018.0,13.5,75.0,8.0,6.0,9.0,Zorzal,williams selyem vista verde vineyard pinot noir 2015 notes cranberry plum berry mix notes dried flowers add delicacy otherwise brooding wine sourced various blocks chalky limestone hillsides signature flinty quality nose mouth vista verde offers softly textured palate plum berry flavors acid seamlessly integrated provides structure way delicate mineraldriven finishsold single bottles,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Zorzal Eggo Filoso Pinot Noir,1.0,16.99,2017.0,12.5,75.0,8.0,6.0,9.0,Zorzal,williams selyem sonoma coast pinot noir 2017 triumph blending cuvée overdelivers sum parts imparting profile raspberry strudel juicy bing cherry underpinnings spicy cardamom savory tones forest tea invite glass finishing tease dark chocolatewine enthusiastsold single bottles,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"Zorzal Eggo Tinto de Tiza Tupungato, Malbec",1.0,16.39,2018.0,13.5,75.0,8.0,6.0,5.0,Zorzal,williams selyem foss vineyard pinot noir 2019 deep rich elements blackberry black cherry commingle hints lavender nutmeg allspice sandalwood plush round palate fresh acidity carries midpalate gives length wine’s chocolaty tannins vanilla baking spices complete profile wonderfully rich wine sold single bottles,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
Bodega Norton Altura Pinot Noir,1.0,16.09,2020.0,13.0,75.0,8.0,6.0,9.0,Bodega Norton,exploration syrah cave de tain sans sulfites collines rhodaniennes syrah experts cave de tain whose vineyard winemaking practices easily lend making low sulphites wine comes igp syrah sans sulfites,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0
Bodega Norton Altura Cabernet Franc,1.0,16.09,2019.0,14.5,75.0,8.0,6.0,9.0,Bodega Norton,ermitage pic saint loup saint agnes blanc clear bright strawyellow hints nose verbena elderberry dried fruits shine palate shows rich notes verbena elderberry white flesh fruits well floral notes finish fresh aromatic particularly well suited shellfish poultry saucesold cases six bottles,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
