Name,type,price,vintage,alcohol,bottle size,country,region,grapespecies,producer,Text wine
Catena Vista Flores Malbec,1.0,13.89,2019.0,13.5,75.0,8,6,5,Catena,"Prunotto Bansella Nizza - Bansella has an intense ruby red colour with dark highlights. The nose reveals rich aromas of plums along with violets, cocoa and licorice. The palate is full and balanced, soft with a fresh finish sustained by a vein of crispy acidity.Sold in single bottles"
Dona Paula Estate Sauvignon Blanc Tupungato,2.0,11.79,2021.0,11.0,75.0,8,6,3,Dona Paula,Sommelier Wine Awards 2019 - Gold Medal Winner
El Camino Mendoza Malbec,1.0,8.39,2020.0,14.5,75.0,8,6,5,El Camino,"Marchesi di Gresy Gaiun Martinenga Barbaresco - Brilliant garnet red in colour with orange hues. The bouquet shows deep nuances of sweet tobacco, licorice and black pepper are mingled with chocolate and balsamic notes. This is an elegantly structured and harmonious wine, with a very fine and silky tannic texture.Sold in cases of six bottles"
Zorzal Eggo Franco Cabernet Franc,1.0,16.39,2018.0,13.5,75.0,8,6,9,Zorzal,"Williams Selyem Vista Verde Vineyard Pinot Noir 2015 - Notes of cranberry, plum, and berry mix with notes of dried flowers, and add a delicacy to this otherwise brooding wine. Sourced from various blocks on chalky limestone hillsides, there is a signature flinty quality both on the nose and in the mouth. The Vista Verde offers a softly textured palate of plum and berry flavors. The acid is seamlessly integrated and provides structure all the way to the delicate, mineral-driven finish.Sold in single bottles"
Zorzal Eggo Filoso Pinot Noir,1.0,16.99,2017.0,12.5,75.0,8,6,9,Zorzal,"Williams Selyem Sonoma Coast Pinot Noir 2017 - 'This is a triumph of blending, a cuvée that over-delivers on the sum of its parts, imparting a profile of raspberry strudel and juicy Bing cherry. With underpinnings of spicy cardamom, savory tones of forest and tea invite you further into the glass, finishing with a tease of dark chocolate'.Wine EnthusiastSold in single bottles"
"Zorzal Eggo Tinto de Tiza Tupungato, Malbec",1.0,16.39,2018.0,13.5,75.0,8,6,5,Zorzal,"Williams Selyem Foss Vineyard Pinot Noir 2019 - Deep, rich elements of blackberry and black cherry commingle with hints of lavender, nutmeg, allspice and sandalwood. While plush and round on the palate, the fresh acidity carries on through the mid-palate and gives length to the wine’s chocolaty tannins. Vanilla and baking spices complete the profile of this wonderfully rich wine. Sold in single bottles"
Bodega Norton Altura Pinot Noir,1.0,16.09,2020.0,13.0,75.0,8,6,9,Bodega Norton,"Exploration Syrah Cave de Tain Sans Sulfites Collines Rhodaniennes - From Syrah experts Cave de Tain, whose vineyard and winemaking practices easily lend themselves to making a low sulphites wine, comes this IGP Syrah Sans Sulfites."
Bodega Norton Altura Cabernet Franc,1.0,16.09,2019.0,14.5,75.0,8,6,9,Bodega Norton,"Ermitage Pic Saint Loup Saint Agnes Blanc - Clear and bright, with straw-yellow hints. On the nose, verbena, elderberry and dried fruits shine through. The palate shows rich notes of verbena, elderberry and white flesh fruits, as well as floral notes. The finish is fresh and aromatic, particularly well suited to shellfish and poultry in a sauce.Sold in cases of six bottles"
Bodega Norton Altura Malbec,1.0,16.09,2019.0,14.5,75.0,8,6,5,Bodega Norton,"Ermitage Pic Saint Loup Tour de Pierres Rouge - Purple in colour, it has an expressive nose of redcurrant, thyme, rosemary, black pepper and cloves. A mellow wine with aromas of spices and garrigue, it has a flinty finish.Sold in single bottles"
Cadus Chacayes Appellation Malbec,1.0,13.99,2018.0,14.5,75.0,8,6,5,Cadus,BEST UK PRICE GUARANTEED!
Cadus Tupungato Appellation Uco Valley Cabernet Sauvignon,1.0,13.99,2018.0,15.5,75.0,8,6,9,Cadus,Domaine Lafage Cadireta Chardonnay - Scents of acacia to complement those of musky sweet peony as well as intimations of the apple and wine. Made from Chardonnay wine aged on Viognier lees.Sold in cases of six bottles
Tomero Malbec Bodega Vistalba,1.0,11.99,2020.0,13.5,75.0,8,6,5,Tomero,"Domaine of the Bee Domaine of the Bee - A delightful wine. The flavour is vibrant, but smooth and round at the same time. There is a distinct freshness that cuts through the generous fruit. The finish is intense, and long-lasting.Sold in single bottles"
Nieto Senetiner Bonarda,1.0,9.89,2018.0,13.0,75.0,8,10,9,Nieto Senetiner,"Vega Del Rayo Rioja Vendimia Seleccionada - This is definitely our biggest selling Spanish wine. Classic in style, it is a delicious modern Rioja with deep colour and ripe plum and cherry fruit aromas. Richly flavoured and substantial with fruit dominant and a smoky, spicy dimension from six months in oak."
Nieto Senetiner Malbec,1.0,8.79,2021.0,14.5,75.0,8,6,5,Nieto Senetiner,"Le Versant Syrah - Deep red colour with dark purple tints. The complex nose combines hints of red fruit, peony, white pepper and juniper berry flavours. Full and fresh on the palate, with aromas of citrus peel and liquorice, smooth tannins and a cocoa finish.Sold in cases of six bottles"
Norton Lote A-1 Single Vineyard Malbec,1.0,32.99,2019.0,15.0,75.0,8,6,5,Bodega Norton,"Williams Selyem Westside Road Neighbors Pinot Noir  - This Westside Road Neighbors sings with brilliant red fruit notes of red raspberry and cranberry jumping from the glass. The signature pencil lead and mineral-like complexion are very forward, owing to the rocky, gravelly soils on the hillsides of Westside Road."
Norton Lote L-1 Single Vineyard Malbec Lunlunta,1.0,32.99,2018.0,15.0,75.0,8,6,5,Bodega Norton,"San Felice Chianti Classico - This Chianti Classico is wonderfully fresh and vibrant with succulent red cherry fruit balanced by firm acidity and tannin. This brilliant vintage is a real pure and approachable expression of the Sangiovese grape. Soft as velvet and medium bodied, it will make great drinking with a wide variety of foods.Sold in cases of six bottles"
Norton Lote LC-1 Single Vineyard Malbec La Colonia,1.0,32.99,2018.0,15.0,75.0,8,6,5,Bodega Norton,San Silvestro Piemonte Barbera Ottone 1 - Cherries and raspberries on the nose. Soft but with structure and finesse. A very approachable style of Barbera with excellent ripe fruit.Sold in single bottles
